id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,type,feature9.1,feature10,value
0,13.0,5.0,28.000000000000004,3.04,5.0,10.2,0.9974,0.46,1.8,new,10.1,0.79,6
1,13.0,6.0,52.0,3.22,8.0,11.4,0.99774,0.45,2.0,new,10.4,0.76,6
2,113.0,29.0,18.0,3.11,3.9,10.9,0.99406,0.28,9.8,old,6.8,0.45,7
3,210.0,68.0,44.0,3.05,5.6,9.5,0.99718,0.24,12.1,old,7.0,0.5,5
5,48.0,15.0,42.0,3.21,8.4,10.0,0.9968,0.08,2.7,new,7.6,0.59,5
6,100.0,36.0,28.000000000000004,3.26,1.2,11.7,0.99064,0.28,2.4,new,6.7,0.39,7
7,177.0,56.0,29.0,3.04,,11.5,0.9928,0.4,7.6,old,7.2,0.32,6
8,45.0,10.0,50.0,3.24,9.4,9.7,0.99864,0.34,2.3,new,9.8,0.6,7
11,16.0,7.0,31.0,3.31,10.9,11.8,0.99614,0.4,2.8,new,8.8,0.79,7
13,192.0,49.0,23.0,2.98,5.8,9.0,0.9979,0.39,14.2,old,7.2,0.48,7
14,114.0,40.0,26.0,3.42,3.1,11.0,0.9908,0.18,1.2,old,5.8,0.4,7
15,133.0,38.0,21.0,3.0,4.5,8.7,0.9978,0.68,10.9,old,7.5,0.36,5
16,169.0,46.0,31.0,3.15,4.0,9.3,0.9953,0.4,6.2,old,6.4,0.46,6
20,85.0,41.0,102.0,3.75,4.5,10.5,0.9938,0.04,1.4,new,5.0,0.48,4
22,124.0,30.0,25.0,3.28,3.6000000000000005,12.2,0.9908,0.39,2.1,old,7.1,0.43,8
25,64.0,15.0,63.0,3.46,8.8,9.3,0.9969,0.31,1.7,new,6.2,0.79,5
27,193.0,23.0,40.0,3.22,5.3,11.6,0.99164,0.27,1.2,old,7.6,0.38,5
28,108.0,23.0,17.0,2.88,4.8,10.5,0.9947,0.49,8.8,old,8.5,0.34,4
29,46.0,16.0,74.0,4.01,4.1,12.5,0.99258,0.0,1.2,new,5.4,0.59,6
30,125.0,37.0,36.0,3.0,3.8,12.4,0.9916,0.35,8.6,old,6.9,0.32,8
